#,Peptide,Score,Prediction results,Hemolysis Conc (ug/ml),Hemolysis 
1778,"car_1762",0.09418982,No,50.0,No
1779,"car_1763",0.028913975,No,50.0,No
1780,"car_1764",0.01970014,No,50.0,No
1781,"car_1765",0.035948664,No,50.0,No
1782,"car_1766",0.51537126,Yes,50.0,No
1783,"car_1767",0.25624526,No,50.0,No
1784,"car_1768",0.18627241,No,50.0,No
1785,"car_1769",0.00013166666,No,50.0,No
1786,"car_1770",0.057223022,No,50.0,No
1787,"car_1771",0.03606841,No,50.0,No
1788,"car_1772",0.30141857,No,50.0,No
1789,"car_1773",0.23917261,No,50.0,No
1790,"car_1774",0.038162142,No,50.0,No
1791,"car_1775",0.0013405383,No,50.0,Yes
1792,"car_1776",0.046668738,No,50.0,No
1793,"car_1777",0.03890568,No,50.0,No
1794,"car_1778",0.24275732,No,50.0,No
1795,"car_1779",0.037190586,No,50.0,No
1796,"car_1780",0.31098014,No,50.0,No
1797,"car_1781",0.16732511,No,50.0,No
1798,"car_1782",0.022194535,No,50.0,No
1799,"car_1783",0.44656545,No,50.0,Yes
1800,"car_1784",0.2582453,No,50.0,No
1801,"car_1785",0.27490544,No,50.0,No
1802,"car_1786",0.2278617,No,50.0,No
1803,"car_1787",0.012608826,No,50.0,No
1804,"car_1788",0.12621212,No,50.0,No
1805,"car_1789",0.048940867,No,50.0,No
1806,"car_1790",0.03212765,No,50.0,No
1807,"car_1791",0.90457344,Yes,50.0,No
1808,"car_1792",0.038193703,No,50.0,No
1809,"car_1793",0.1050899,No,50.0,No
1810,"car_1794",0.6857743,Yes,50.0,No
1811,"car_1795",0.033272713,No,50.0,No
1812,"car_1796",0.00025197864,No,50.0,Yes
1813,"car_1797",0.056661725,No,50.0,No
1814,"car_1798",0.017740935,No,50.0,No
1815,"car_1799",0.11397976,No,50.0,No
1816,"car_1800",0.030297697,No,50.0,No
1817,"car_1801",0.0833922,No,50.0,No
1818,"car_1802",0.100809455,No,50.0,No
1819,"car_1803",0.026283115,No,50.0,No
1820,"car_1804",0.024877995,No,50.0,No
1821,"car_1805",0.10624695,No,50.0,No
1822,"car_1806",0.10204315,No,50.0,No
1823,"car_1807",0.14375728,No,50.0,No
1824,"car_1808",0.0025253296,No,50.0,No
1825,"car_1809",0.025354594,No,50.0,No
1826,"car_1810",0.06902099,No,50.0,No
1827,"car_1811",0.13197997,No,50.0,No
1828,"car_1812",0.37359768,No,50.0,Yes
1829,"car_1813",0.050545573,No,50.0,No
1830,"car_1814",0.037760764,No,50.0,No
1831,"car_1815",0.057332605,No,50.0,No
1832,"car_1816",0.44619387,No,50.0,No
1833,"car_1817",0.23655939,No,50.0,No
1834,"car_1818",0.046352953,No,50.0,No
1835,"car_1819",0.0054739118,No,50.0,No
1836,"car_1820",0.8386877,Yes,50.0,No
1837,"car_1821",0.030207515,No,50.0,No
1838,"car_1822",0.09338707,No,50.0,No
1839,"car_1823",0.15594524,No,50.0,No
1840,"car_1824",0.027150214,No,50.0,No
1841,"car_1825",0.313625,No,50.0,Yes
1842,"car_1826",0.09729421,No,50.0,Yes
1843,"car_1827",0.1273804,No,50.0,No
1844,"car_1828",0.6151102,Yes,50.0,No
1845,"car_1829",0.7762491,Yes,50.0,No
1846,"car_1830",0.023201257,No,50.0,No
1847,"car_1831",0.06942421,No,50.0,No
1848,"car_1832",0.16568774,No,50.0,No
1849,"car_1833",0.30315486,No,50.0,No
1850,"car_1834",0.03586483,No,50.0,No
1851,"car_1835",0.017895311,No,50.0,No
1852,"car_1836",0.08990723,No,50.0,No
1853,"car_1837",0.041069835,No,50.0,No
1854,"car_1838",0.40279925,No,50.0,No
1855,"car_1839",0.036331862,No,50.0,No
1856,"car_1840",0.0072027147,No,50.0,No
1857,"car_1841",0.041475862,No,50.0,No
1858,"car_1842",0.8015299,Yes,50.0,No
1859,"car_1843",0.006664753,No,50.0,No
1860,"car_1844",0.008188009,No,50.0,No
1861,"car_1845",0.021347284,No,50.0,No
1862,"car_1846",0.45318708,No,50.0,No
1863,"car_1847",0.028766692,No,50.0,No
1864,"car_1848",0.024459004,No,50.0,No
1865,"car_1849",0.20726281,No,50.0,No
1866,"car_1850",0.15436938,No,50.0,No
1867,"car_1851",0.8567264,Yes,50.0,No
1868,"car_1852",0.2882329,No,50.0,No
1869,"car_1853",0.031226426,No,50.0,No
1870,"car_1854",0.02472949,No,50.0,No
1871,"car_1855",0.14817503,No,50.0,No
1872,"car_1856",0.01476264,No,50.0,No
1873,"car_1857",0.11725396,No,50.0,No
1874,"car_1858",0.010651439,No,50.0,No
1875,"car_1859",0.09744364,No,50.0,No
1876,"car_1860",0.18712169,No,50.0,No
1877,"car_1861",0.006480485,No,50.0,No
1878,"car_1862",0.16028002,No,50.0,Yes
1879,"car_1863",0.022928864,No,50.0,No
1880,"car_1864",0.64972436,Yes,50.0,No
1881,"car_1865",0.05318457,No,50.0,No
1882,"car_1866",0.0057994127,No,50.0,No
1883,"car_1867",0.121331066,No,50.0,No
1884,"car_1868",0.013457239,No,50.0,No
1885,"car_1869",0.06485784,No,50.0,No
1886,"car_1870",0.88062704,Yes,50.0,No
1887,"car_1871",0.018111587,No,50.0,No
1888,"car_1872",0.004036069,No,50.0,No
1889,"car_1873",0.47246122,No,50.0,No
1890,"car_1874",0.07723141,No,50.0,No
1891,"car_1875",0.012074053,No,50.0,No
1892,"car_1876",0.021850765,No,50.0,Yes
1893,"car_1877",0.02911368,No,50.0,No
1894,"car_1878",0.0411478,No,50.0,No
1895,"car_1879",0.27033356,No,50.0,No
1896,"car_1880",0.055534124,No,50.0,No
1897,"car_1881",0.0007612705,No,50.0,No
1898,"car_1882",0.01724261,No,50.0,No
1899,"car_1883",0.0037537813,No,50.0,No
1900,"car_1884",0.00801602,No,50.0,Yes
1901,"car_1885",0.026908815,No,50.0,No
1902,"car_1886",0.04922113,No,50.0,No
1903,"car_1887",1.6292533e-06,No,50.0,No
1904,"car_1888",0.16628388,No,50.0,No
1905,"car_1889",0.16367692,No,50.0,No
1906,"car_1890",0.19328472,No,50.0,No
1907,"car_1891",0.009724498,No,50.0,No
1908,"car_1892",0.07560554,No,50.0,No
1909,"car_1893",0.019854456,No,50.0,No
1910,"car_1894",0.292938,No,50.0,No
1911,"car_1895",0.001892209,No,50.0,No
1912,"car_1896",0.028656304,No,50.0,No
1913,"car_1897",0.018207967,No,50.0,No
1914,"car_1898",0.004520893,No,50.0,No
1915,"car_1899",0.1954642,No,50.0,No
1916,"car_1900",0.66550905,Yes,50.0,No
1917,"car_1901",0.015806645,No,50.0,No
1918,"car_1902",0.020430773,No,50.0,No
1919,"car_1903",0.05924678,No,50.0,No
1920,"car_1904",0.03181246,No,50.0,No
1921,"car_1905",0.050521553,No,50.0,No
1922,"car_1906",0.6939787,Yes,50.0,No
1923,"car_1907",0.009911209,No,50.0,No
1924,"car_1908",0.0014249384,No,50.0,No
1925,"car_1909",0.29776716,No,50.0,No
1926,"car_1910",0.54702175,Yes,50.0,No
1927,"car_1911",0.089963764,No,50.0,No
1928,"car_1912",0.09670916,No,50.0,No
1929,"car_1913",0.044468343,No,50.0,No
1930,"car_1914",0.037100643,No,50.0,No
1931,"car_1915",0.6862495,Yes,50.0,No
1932,"car_1916",0.13733292,No,50.0,No
1933,"car_1917",0.39268667,No,50.0,No
1934,"car_1918",0.032276213,No,50.0,No
1935,"car_1919",0.0051146448,No,50.0,No
1936,"car_1920",0.1878995,No,50.0,No
1937,"car_1921",0.03487709,No,50.0,No
1938,"car_1922",0.9037132,Yes,50.0,No
1939,"car_1923",0.045950443,No,50.0,No
1940,"car_1924",0.06555024,No,50.0,No
1941,"car_1925",0.03478372,No,50.0,Yes
1942,"car_1926",0.044965655,No,50.0,No
1943,"car_1927",0.015922546,No,50.0,No
1944,"car_1928",0.011370808,No,50.0,No
1945,"car_1929",0.00046882033,No,50.0,Yes
1946,"car_1930",0.06270653,No,50.0,No
1947,"car_1931",0.07044387,No,50.0,Yes
1948,"car_1932",0.014273316,No,50.0,No
1949,"car_1933",0.24874875,No,50.0,No
1950,"car_1934",0.6310134,Yes,50.0,No
1951,"car_1935",0.04144305,No,50.0,No
1952,"car_1936",0.9564071,Yes,50.0,No
1953,"car_1937",0.20097637,No,50.0,No
1954,"car_1938",0.021033406,No,50.0,No
1955,"car_1939",0.097075164,No,50.0,No
1956,"car_1940",0.004684329,No,50.0,No
1957,"car_1941",0.06818199,No,50.0,No
1958,"car_1942",0.31418645,No,50.0,No
1959,"car_1943",0.108143896,No,50.0,No
1960,"car_1944",0.87965375,Yes,50.0,No
1961,"car_1945_1_49",0.010368943,No,50.0,No
1962,"car_1945_26_54",0.016311407,No,50.0,No
1963,"car_1945_51_54",0.042886168,No,50.0,No
1964,"car_1946",0.35056585,No,50.0,No
1965,"car_1947",0.08616841,No,50.0,No
1966,"car_1948",0.22976163,No,50.0,No
1967,"car_1949",0.10740048,No,50.0,No
1968,"car_1950",0.11942068,No,50.0,No
1969,"car_1951",0.05228719,No,50.0,No
1970,"car_1952",0.38928327,No,50.0,No
1971,"car_1953",0.033885896,No,50.0,No
1972,"car_1954",0.033966154,No,50.0,No
1973,"car_1955",0.18473673,No,50.0,Yes
1974,"car_1956",0.15841168,No,50.0,No
1975,"car_1957",0.009485275,No,50.0,No
1976,"car_1958",0.010557443,No,50.0,No
1977,"car_1959",0.047165006,No,50.0,No
1978,"car_1960",0.024057359,No,50.0,No
1979,"car_1961",0.15138048,No,50.0,No
1980,"car_1962",0.039601505,No,50.0,No
1981,"car_1963",0.004540652,No,50.0,No
1982,"car_1964",0.039597273,No,50.0,No
1983,"car_1965",0.2422482,No,50.0,No
1984,"car_1966",0.3584678,No,50.0,No
1985,"car_1967",0.2130771,No,50.0,No
1986,"car_1968",0.8063922,Yes,50.0,Yes
1987,"car_1969",0.059362292,No,50.0,No
1988,"car_1970",0.39782515,No,50.0,No
1989,"car_1971",0.019664139,No,50.0,No
1990,"car_1972",0.19625992,No,50.0,No
1991,"car_1973",0.20589986,No,50.0,No
1992,"car_1974",0.038577765,No,50.0,No
1993,"car_1975",0.08406234,No,50.0,No
1994,"car_1976",0.12817952,No,50.0,No
1995,"car_1977",0.6790563,Yes,50.0,No
1996,"car_1978_1_49",0.00020176172,No,50.0,No
1997,"car_1978_26_71",6.7171146e-05,No,50.0,No
1998,"car_1978_51_71",0.0072901845,No,50.0,No
1999,"car_1979",0.039774388,No,50.0,No
2000,"car_1980",0.00012931228,No,50.0,No
2001,"car_1981",0.12009746,No,50.0,No
2002,"car_1982",0.08251402,No,50.0,No
2003,"car_1983",0.39883706,No,50.0,No
2004,"car_1984",0.9268805,Yes,50.0,No
2005,"car_1985",0.017934263,No,50.0,No
2006,"car_1986",0.023703098,No,50.0,No
2007,"car_1987",0.28250867,No,50.0,No
2008,"car_1988",0.018114507,No,50.0,No
2009,"car_1989",0.01083523,No,50.0,No
2010,"car_1990",0.007321745,No,50.0,No
2011,"car_1991",0.6305277,Yes,50.0,No
2012,"car_1992",0.05626023,No,50.0,No
2013,"car_1993",0.038279027,No,50.0,No
2014,"car_1994",0.108925134,No,50.0,No
2015,"car_1995",0.14945477,No,50.0,No
2016,"car_1996",0.25594723,No,50.0,No
2017,"car_1997",0.0412156,No,50.0,No
2018,"car_1998",0.17907348,No,50.0,No
2019,"car_1999",0.12085825,No,50.0,Yes
2020,"car_2000",0.007374704,No,50.0,No
2021,"car_2001",0.2962075,No,50.0,No
2022,"car_2002_1_49",0.5319772,Yes,50.0,No
2023,"car_2002_26_57",0.0040751994,No,50.0,Yes
2024,"car_2002_51_57",0.294312,No,50.0,No
2025,"car_2003",0.13405058,No,50.0,No
2026,"car_2004",0.08343446,No,50.0,No
2027,"car_2005",0.062498063,No,50.0,No
2028,"car_2006",0.008414477,No,50.0,No
2029,"car_2007",0.024190187,No,50.0,No
2030,"car_2008",0.010790765,No,50.0,No
2031,"car_2009",0.31112862,No,50.0,No
2032,"car_2010",0.02238211,No,50.0,No
2033,"car_2011",0.14088395,No,50.0,No
2034,"car_2012",0.0066283047,No,50.0,No
2035,"car_2013",0.5793068,Yes,50.0,No
2036,"car_2014",0.027854532,No,50.0,No
2037,"car_2015",0.36957824,No,50.0,No
2038,"car_2016",0.84112513,Yes,50.0,No
2039,"car_2017",0.010183126,No,50.0,No
2040,"car_2018",0.0005170405,No,50.0,No
2041,"car_2019",0.75847375,Yes,50.0,Yes
2042,"car_2020",0.052610368,No,50.0,No
2043,"car_2021",0.0846678,No,50.0,No
2044,"car_2022",0.035180688,No,50.0,No
2045,"car_2023",0.020798147,No,50.0,No
2046,"car_2024",0.9680643,Yes,50.0,Yes
2047,"car_2025",0.766724,Yes,50.0,No
2048,"car_2026",0.032400757,No,50.0,No
2049,"car_2027",0.02413553,No,50.0,No
2050,"car_2028",0.0533821,No,50.0,No
2051,"car_2029",0.17279488,No,50.0,No
2052,"car_2030",0.03532234,No,50.0,No
2053,"car_2031",0.62418544,Yes,50.0,No
2054,"car_2032",0.04110974,No,50.0,No
2055,"car_2033",0.044551045,No,50.0,No
2056,"car_2034",0.061984748,No,50.0,No
2057,"car_2035",0.06843671,No,50.0,No
2058,"car_2036",0.8234656,Yes,50.0,No
2059,"car_2037",0.021964043,No,50.0,No
2060,"car_2038",0.027579576,No,50.0,No
2061,"car_2039",0.09293896,No,50.0,No
2062,"car_2040",0.01801771,No,50.0,No
2063,"car_2041",0.5589725,Yes,50.0,Yes
2064,"car_2042",0.012420088,No,50.0,No
2065,"car_2043",0.04058218,No,50.0,No
2066,"car_2044",0.09271926,No,50.0,No
2067,"car_2045",2.8212911e-05,No,50.0,No
2068,"car_2046",0.051123947,No,50.0,No
2069,"car_2047",0.04187104,No,50.0,No
2070,"car_2048",0.038172603,No,50.0,No
2071,"car_2049",0.60832405,Yes,50.0,No
2072,"car_2050",0.27625948,No,50.0,No
2073,"car_2051",0.16547501,No,50.0,No
2074,"car_2052",0.37514022,No,50.0,No
2075,"car_2053",0.2120544,No,50.0,No
2076,"car_2054",0.0792757,No,50.0,No
2077,"car_2055",0.02738002,No,50.0,No
2078,"car_2056",0.0011000335,No,50.0,No
2079,"car_2057",0.0037321448,No,50.0,No
2080,"car_2058",0.01019606,No,50.0,No
2081,"car_2059",0.45533422,No,50.0,No
2082,"car_2060",0.25543696,No,50.0,No
2083,"car_2061",0.012634248,No,50.0,No
2084,"car_2062",0.4230217,No,50.0,No
2085,"car_2063",0.05735013,No,50.0,No
2086,"car_2064",0.0016078055,No,50.0,No
2087,"car_2065",0.022155404,No,50.0,No
2088,"car_2066",0.005274236,No,50.0,No
2089,"car_2067",0.05062285,No,50.0,No
2090,"car_2068",0.021296024,No,50.0,No
2091,"car_2069",0.018869728,No,50.0,No
2092,"car_2070",0.049380243,No,50.0,No
2093,"car_2071",0.2291441,No,50.0,Yes
2094,"car_2072",0.14906797,No,50.0,No
2095,"car_2073",0.06286347,No,50.0,No
2096,"car_2074",0.33365393,No,50.0,No
2097,"car_2075",0.46887943,No,50.0,No
2098,"car_2076",0.036744297,No,50.0,No
2099,"car_2077",0.1156483,No,50.0,No
2100,"car_2078",0.020387888,No,50.0,No
2101,"car_2079",0.38146776,No,50.0,No
2102,"car_2080",0.02666998,No,50.0,No
2103,"car_2081",0.020861745,No,50.0,No
2104,"car_2082",0.08183265,No,50.0,No
2105,"car_2083",0.00076648593,No,50.0,No
2106,"car_2084",0.035143346,No,50.0,No
2107,"car_2085",0.042360395,No,50.0,No
2108,"car_2086",0.35819262,No,50.0,No
2109,"car_2087_1_49",0.8146173,Yes,50.0,No
2110,"car_2087_26_62",2.4292176e-06,No,50.0,No
2111,"car_2087_51_62",0.0019027293,No,50.0,Yes
2112,"car_2088",0.021243513,No,50.0,No
2113,"car_2089",0.025290549,No,50.0,No
2114,"car_2090",0.0016737282,No,50.0,No
2115,"car_2091",0.019355893,No,50.0,Yes
2116,"car_2092",0.13681433,No,50.0,No
2117,"car_2093",0.12256801,No,50.0,No
2118,"car_2094",0.02042973,No,50.0,No
2119,"car_2095",0.62443984,Yes,50.0,Yes
2120,"car_2096",0.049431294,No,50.0,No
2121,"car_2097",0.21870524,No,50.0,No
2122,"car_2098",0.010582626,No,50.0,No
2123,"car_2099",0.6699414,Yes,50.0,No
2124,"car_2100",0.123283654,No,50.0,No
2125,"car_2101",0.03773427,No,50.0,No
2126,"car_2102",0.17175034,No,50.0,No
2127,"car_2103",0.5970191,Yes,50.0,No
2128,"car_2104",0.014668822,No,50.0,No
2129,"car_2105",0.06587556,No,50.0,No
2130,"car_2106",0.059674263,No,50.0,Yes
2131,"car_2107",0.029130787,No,50.0,No
2132,"car_2108",0.009232551,No,50.0,No
2133,"car_2109",0.015283376,No,50.0,No
2134,"car_2110",0.020236999,No,50.0,No
2135,"car_2111",0.18498221,No,50.0,No
2136,"car_2112",0.05506426,No,50.0,No
2137,"car_2113",0.047626585,No,50.0,No
2138,"car_2114",0.41289386,No,50.0,No
2139,"car_2115",0.13152635,No,50.0,No
2140,"car_2116",0.07450053,No,50.0,No
2141,"car_2117",0.13983941,No,50.0,No
2142,"car_2118",0.08683273,No,50.0,No
2143,"car_2119",0.062579215,No,50.0,No
2144,"car_2120",0.1353471,No,50.0,No
2145,"car_2121",0.08802816,No,50.0,No
2146,"car_2122",0.048004717,No,50.0,No
2147,"car_2123",0.04053563,No,50.0,No
2148,"car_2124",0.2622548,No,50.0,No
2149,"car_2125",0.06480619,No,50.0,No
2150,"car_2126",0.060839057,No,50.0,No
2151,"car_2127",0.40696186,No,50.0,No
2152,"car_2128",0.6009897,Yes,50.0,No
2153,"car_2129",0.20588508,No,50.0,No
2154,"car_2130",0.0022093058,No,50.0,No
2155,"car_2131",0.9248024,Yes,50.0,No
2156,"car_2132",0.0034900606,No,50.0,Yes
2157,"car_2133",0.04183632,No,50.0,No
2158,"car_2134",0.046820045,No,50.0,No
2159,"car_2135",0.01469323,No,50.0,No
2160,"car_2136",0.14236596,No,50.0,No
2161,"car_2137",0.43026242,No,50.0,No
2162,"car_2138",0.026229382,No,50.0,No
2163,"car_2139",0.09405312,No,50.0,Yes
2164,"car_2140",0.059984714,No,50.0,No
2165,"car_2141",0.0437952,No,50.0,Yes
2166,"car_2142",0.0764918,No,50.0,No
2167,"car_2143",0.011858791,No,50.0,No
2168,"car_2144",0.12114793,No,50.0,No
2169,"car_2145",0.81335795,Yes,50.0,Yes
2170,"car_2146",0.0651007,No,50.0,No
2171,"car_2147",0.08638504,No,50.0,No
2172,"car_2148",0.22724885,No,50.0,No
2173,"car_2149",0.09948519,No,50.0,No
2174,"car_2150",0.31764722,No,50.0,No
2175,"car_2151",0.01108101,No,50.0,No
2176,"car_2152",0.16365638,No,50.0,Yes
2177,"car_2153",0.96529514,Yes,50.0,Yes
2178,"car_2154",0.19418633,No,50.0,No
2179,"car_2155",0.11293551,No,50.0,No
2180,"car_2156",0.48307952,No,50.0,No
2181,"car_2157",0.07563087,No,50.0,No
2182,"car_2158",0.23503712,No,50.0,No
2183,"car_2159",0.038089484,No,50.0,No
2184,"car_2160",0.2708465,No,50.0,No
2185,"car_2161",0.109707445,No,50.0,No
2186,"car_2162",0.05826348,No,50.0,No
2187,"car_2163",0.029595762,No,50.0,No
2188,"car_2164",0.07957247,No,50.0,No
2189,"car_2165",0.03630781,No,50.0,No
2190,"car_2166",0.027408957,No,50.0,No
2191,"car_2167",0.086747736,No,50.0,No
2192,"car_2168",0.0148282945,No,50.0,No
2193,"car_2169",0.25074342,No,50.0,No
2194,"car_2170",0.0037504733,No,50.0,No
2195,"car_2171",0.07128671,No,50.0,No
2196,"car_2172",0.3897925,No,50.0,No
2197,"car_2173",0.044724613,No,50.0,No
2198,"car_2174",0.14891016,No,50.0,No
2199,"car_2175",0.18727311,No,50.0,No
2200,"car_2176",0.16152766,No,50.0,No
2201,"car_2177",0.061003685,No,50.0,No
2202,"car_2178",0.03236431,No,50.0,No
2203,"car_2179",0.05500287,No,50.0,No
2204,"car_2180",0.07085848,No,50.0,No
2205,"car_2181",0.120346904,No,50.0,No
2206,"car_2182",0.6136631,Yes,50.0,Yes
2207,"car_2183",0.040226847,No,50.0,No
2208,"car_2184",0.3516674,No,50.0,No
2209,"car_2185",0.023335844,No,50.0,No
2210,"car_2186",0.064281225,No,50.0,No
2211,"car_2187",0.025106907,No,50.0,No
2212,"car_2188",0.053278208,No,50.0,No
2213,"car_2189",0.044112235,No,50.0,No
2214,"car_2190",0.083236605,No,50.0,No
2215,"car_2191",0.07064265,No,50.0,No
2216,"car_2192",0.13152212,No,50.0,No
2217,"car_2193",0.012628645,No,50.0,Yes
2218,"car_2194",2.5952064e-05,No,50.0,No
2219,"car_2195",0.035443902,No,50.0,No
2220,"car_2196",0.19240338,No,50.0,No
2221,"car_2197",0.021117628,No,50.0,No
2222,"car_2198",0.88860524,Yes,50.0,No
2223,"car_2199",0.024686486,No,50.0,No
2224,"car_2200",0.17368132,No,50.0,No
2225,"car_2201",0.045706183,No,50.0,No
2226,"car_2202",0.045212835,No,50.0,No
2227,"car_2203",0.27223518,No,50.0,No
2228,"car_2204",0.013689309,No,50.0,No
2229,"car_2205",0.018354803,No,50.0,No
2230,"car_2206",0.10906586,No,50.0,No
2231,"car_2207",0.6866765,Yes,50.0,No
2232,"car_2208",0.03776747,No,50.0,No
2233,"car_2209",0.043682724,No,50.0,No
2234,"car_2210",0.9300158,Yes,50.0,No
2235,"car_2211",0.026424825,No,50.0,No
2236,"car_2212",0.80568415,Yes,50.0,Yes
2237,"car_2213",0.035618752,No,50.0,No
2238,"car_2214",0.010191351,No,50.0,No
2239,"car_2215",0.38287473,No,50.0,No
2240,"car_2216",0.0017341673,No,50.0,No
2241,"car_2217",0.115214735,No,50.0,No
2242,"car_2218",0.07220405,No,50.0,No
2243,"car_2219",0.18539414,No,50.0,No
2244,"car_2220",0.07919887,No,50.0,No
2245,"car_2221",0.123897016,No,50.0,No
2246,"car_2222",0.051365525,No,50.0,No
2247,"car_2223",0.0008471906,No,50.0,No
2248,"car_2224",0.26242602,No,50.0,No
2249,"car_2225",0.11769542,No,50.0,No
2250,"car_2226",0.008404851,No,50.0,No
2251,"car_2227",0.012414694,No,50.0,No
2252,"car_2228",0.026971817,No,50.0,No
2253,"car_2229",0.014006734,No,50.0,No
2254,"car_2230",0.00015565753,No,50.0,No
2255,"car_2231",0.011539698,No,50.0,No
2256,"car_2232",0.7943882,Yes,50.0,No
2257,"car_2233",0.103435606,No,50.0,No
2258,"car_2234",0.39136124,No,50.0,No
2259,"car_2235",0.0077952743,No,50.0,No
2260,"car_2236",0.06926638,No,50.0,No
2261,"car_2237",0.0075096786,No,50.0,No
2262,"car_2238",0.7603494,Yes,50.0,Yes
2263,"car_2239",0.088876605,No,50.0,No
2264,"car_2240",0.15087545,No,50.0,No
2265,"car_2241",0.099926025,No,50.0,No
2266,"car_2242",0.0042915344,No,50.0,No
2267,"car_2243",0.17820895,No,50.0,No
2268,"car_2244",0.07553223,No,50.0,No
2269,"car_2245",0.0334073,No,50.0,No
2270,"car_2246",0.0064947605,No,50.0,No
2271,"car_2247",0.018654674,No,50.0,No
2272,"car_2248",0.06582329,No,50.0,No
2273,"car_2249",0.10680944,No,50.0,No
2274,"car_2250",0.012128174,No,50.0,No
2275,"car_2251",0.05261171,No,50.0,No
2276,"car_2252",0.00537923,No,50.0,No
2277,"car_2253",0.1750384,No,50.0,No
2278,"car_2254",0.06377146,No,50.0,No
2279,"car_2255",0.01607418,No,50.0,No
2280,"car_2256",0.74749607,Yes,50.0,No
2281,"car_2257",0.06757632,No,50.0,No
2282,"car_2258",0.13270429,No,50.0,No
2283,"car_2259",0.009505361,No,50.0,No
2284,"car_2260",0.14191285,No,50.0,No
2285,"car_2261",0.06816313,No,50.0,Yes
2286,"car_2262",0.06346327,No,50.0,No
2287,"car_2263",0.17721298,No,50.0,No
2288,"car_2264",0.107864976,No,50.0,No
2289,"car_2265",0.0150384605,No,50.0,No
2290,"car_2266",0.1788438,No,50.0,No
2291,"car_2267",0.04253328,No,50.0,No
2292,"car_2268",0.0092662275,No,50.0,No
2293,"car_2269_1_49",0.039145052,No,50.0,No
2294,"car_2269_26_66",0.0012384355,No,50.0,No
2295,"car_2269_51_66",0.0029965043,No,50.0,No
2296,"car_2270",0.11449194,No,50.0,No
2297,"car_2271",0.08698356,No,50.0,No
2298,"car_2272",0.017241001,No,50.0,No
2299,"car_2273",0.03341511,No,50.0,No
2300,"car_2274",0.20159358,No,50.0,No
2301,"car_2275",0.006581098,No,50.0,No
2302,"car_2276",0.0687494,No,50.0,No
2303,"car_2277",0.11149186,No,50.0,No
2304,"car_2278",0.03180304,No,50.0,No
2305,"car_2279",0.69014657,Yes,50.0,Yes
2306,"car_2280",0.025416583,No,50.0,No
2307,"car_2281",0.041413933,No,50.0,No
2308,"car_2282",0.012195021,No,50.0,No
2309,"car_2283",0.11632934,No,50.0,No
2310,"car_2284",0.17753634,No,50.0,No
2311,"car_2285",0.060751617,No,50.0,No
2312,"car_2286",0.28840965,No,50.0,No
2313,"car_2287",0.04594347,No,50.0,No
2314,"car_2288",0.7221171,Yes,50.0,Yes
2315,"car_2289",0.03030327,No,50.0,No
2316,"car_2290",0.08955422,No,50.0,No
2317,"car_2291",0.025712967,No,50.0,No
2318,"car_2292",0.044768035,No,50.0,No
2319,"car_2293",0.06801054,No,50.0,No
2320,"car_2294",0.009334117,No,50.0,No
2321,"car_2295",0.10925928,No,50.0,No
2322,"car_2296",0.9689934,Yes,50.0,No
2323,"car_2297",0.05561158,No,50.0,No
2324,"car_2298",0.0048040748,No,50.0,No
2325,"car_2299",0.68268156,Yes,50.0,Yes
2326,"car_2300",0.066890806,No,50.0,No
2327,"car_2301",0.023131281,No,50.0,Yes
2328,"car_2302",0.12529576,No,50.0,No
2329,"car_2303",0.03738171,No,50.0,No
2330,"car_2304",0.18520603,No,50.0,No
2331,"car_2305",0.92439306,Yes,50.0,No
2332,"car_2306",0.09638721,No,50.0,No
2333,"car_2307",0.028062046,No,50.0,No
2334,"car_2308",0.06896782,No,50.0,No
2335,"car_2309",0.8296492,Yes,50.0,No
2336,"car_2310",0.34336734,No,50.0,No
2337,"car_2311",0.26351136,No,50.0,No
2338,"car_2312",0.03855315,No,50.0,No
2339,"car_2313",0.07891771,No,50.0,No
2340,"car_2314",0.013598084,No,50.0,No
2341,"car_2315",0.07058102,No,50.0,No
2342,"car_2316",0.023877054,No,50.0,No
2343,"car_2317",0.30383542,No,50.0,No
2344,"car_2318",0.07055229,No,50.0,No
2345,"car_2319",0.012551665,No,50.0,No
2346,"car_2320",0.04474002,No,50.0,No
2347,"car_2321",0.2642465,No,50.0,No
2348,"car_2322",0.038936228,No,50.0,No
2349,"car_2323",0.018060744,No,50.0,Yes
2350,"car_2324",0.07688996,No,50.0,No
2351,"car_2325",0.029162586,No,50.0,No
2352,"car_2326",0.057549924,No,50.0,Yes
2353,"car_2327",0.051184922,No,50.0,No
2354,"car_2328",0.05913487,No,50.0,No
2355,"car_2329",0.054739743,No,50.0,No
2356,"car_2330",0.18366078,No,50.0,No
2357,"car_2331",0.002911508,No,50.0,Yes
2358,"car_2332",0.27724406,No,50.0,No
2359,"car_2333",0.033266574,No,50.0,No
2360,"car_2334",0.1131368,No,50.0,Yes
2361,"car_2335",0.041147232,No,50.0,No
2362,"car_2336",0.00047397614,No,50.0,No
2363,"car_2337",0.061927646,No,50.0,No
2364,"car_2338",0.018113613,No,50.0,No
2365,"car_2339",0.037597746,No,50.0,No
2366,"car_2340",0.029511064,No,50.0,No
2367,"car_2341",0.17722052,No,50.0,No
2368,"car_2342",0.09373486,No,50.0,No
2369,"car_2343",0.09962046,No,50.0,No
2370,"car_2344",0.15181914,No,50.0,No
